user_id,openness,conscientiousness,extraversion,agreeableness,neuroticism,sleep_schedule,cleanliness,diet,social_style,study_style,interests
U01,4,4,3,2,9,early_bird,high,vegetarian,introvert,quiet,"gym,movies"
U02,9,10,1,9,4,night_owl,low,vegetarian,extrovert,music,"art,cooking"
U03,6,5,3,4,6,early_bird,low,vegetarian,introvert,music,"hiking,reading"
U04,8,9,2,7,2,night_owl,high,vegan,ambivert,group,"art,gym,movies,travel"
U05,5,2,4,2,7,night_owl,medium,vegan,ambivert,quiet,"cooking,gaming,gym"
U06,2,10,3,9,4,early_bird,medium,vegetarian,ambivert,group,"art,cooking,movies,travel"
U07,1,6,7,5,2,early_bird,high,vegan,ambivert,quiet,"cooking,gym,travel"
U08,4,9,9,5,10,night_owl,high,vegetarian,ambivert,quiet,"gaming,hiking,music,reading,sports"
U09,1,2,3,3,7,early_bird,medium,vegetarian,extrovert,music,"gaming,music,sports"
U10,9,5,6,2,5,night_owl,low,vegetarian,introvert,group,"gaming,gym,sports,travel"
U11,5,9,10,4,3,night_owl,low,vegan,extrovert,quiet,"gaming,hiking,reading,sports"
U12,5,4,1,4,10,early_bird,low,vegan,ambivert,quiet,"gaming,gym,hiking,music"
U13,5,9,10,7,4,early_bird,high,vegetarian,ambivert,group,"art,hiking,music"
U14,4,4,2,6,1,early_bird,high,omnivore,introvert,quiet,"art,gym,music,sports"
U15,1,6,2,9,4,night_owl,high,vegetarian,introvert,group,"cooking,gaming"
U16,8,7,4,2,2,night_owl,medium,vegetarian,ambivert,music,"art,cooking,music"
U17,7,6,2,4,4,early_bird,high,vegetarian,introvert,music,"gaming,gym"
U18,2,8,9,2,1,early_bird,low,omnivore,introvert,music,"cooking,movies,music"
U19,7,1,7,5,8,night_owl,medium,vegan,extrovert,group,"cooking,gaming,gym,music,reading"
U20,10,9,1,6,1,early_bird,high,vegetarian,extrovert,group,"cooking,gaming,gym,hiking,movies"
